VM Id,VM Name,Tenant Id,Tenant Name,Tenant External URL,Image Id,Image Owner Id,Image Name,Secured,Image Direct URL,Image Updated Days,VM Availability Zone,VM Updated Ago,VM IP Address,VM Host Id,VM User Id
09af40e1-cbbc-47ca-bd38-9a2152e2af43,mgdb-imcdev-npd3-1,0078be0257474092b960ba92d937098f,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,785634f33bad4c8caadbb9f5baa796c7,RHEL-7_4-MG,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,4 Days 13 Hours 20 Mins,cloud-rtp-1-c,153 Days 18 Hours 49 Mins,64.102.186.121,179e3ab323cae97b2e5622656514525f6df64039dfd9e7a0a3da1dd3,44e32f6c8d86cca0d0c9197930356e9882b0a5b6a09cb248aae5efb77ab92a7c
c340efa7-255f-4696-a508-f7fe22480c69,docker-0,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-c,2 Days 22 Hours 19 Mins,10.0.0.64,fc03b7852aba52f223a9b530c61c9338fafe586dd45c97fb5fd6fb1d,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
7976203d-40c4-41b6-a0a8-3ef30412bb00,docker-1,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-c,2 Days 22 Hours 19 Mins,10.0.0.65,fc03b7852aba52f223a9b530c61c9338fafe586dd45c97fb5fd6fb1d,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
dff8a851-5f13-4d8c-bf0e-8ed74cf6f3a3,docker-test-0,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-b,21 Days 17 Hours 54 Mins,10.0.0.15,786312efb0dddf5b74b1b45f28e88be9bf9fae3f39527a2b41dadcd9,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
885ca4ba-0559-4e3b-a30b-25cc2dcc8748,isv-kubs-bastion-1,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-a,274 Days 21 Hours 19 Mins,10.0.0.19,a3a903733cc57761f96fd7f79d142d85d4b71a9c14c8623b9ffab820,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
2f6c0043-0fa2-4463-bb45-65bef7e595e2,isv-kubs-k8s-master-nf-1,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-b,274 Days 21 Hours 19 Mins,10.0.0.11,396e971d730b7d1c677391a671226d529b4aca1c73780fa7e288c5d9,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
fc18404c-6b08-413e-961b-de4821abb290,isv-kubs-k8s-master-nf-2,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-b,274 Days 21 Hours 19 Mins,10.0.0.13,65a46ed4cf72134a470734a71452e0beedd2b6196c977f917ce82d75,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
8688cfcb-19a8-499e-81a9-21e1eff156db,isv-kubs-k8s-master-nf-3,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-b,274 Days 21 Hours 19 Mins,10.0.0.17,65a46ed4cf72134a470734a71452e0beedd2b6196c977f917ce82d75,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
40837104-2d10-4889-ad6d-5e8419eef303,isv-kubs-k8s-node-nf-2,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-b,274 Days 21 Hours 19 Mins,10.0.0.8,5ebf3f89603e9cb28110adf2124924f62fbed7b25cb1dcefdff6d7f7,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
bfb10120-059d-41d8-a0cf-4a32c92bd5d0,isv-kubs-k8s-node-nf-3,076be8399a6c4f11854e867893019101,isv-multicloud,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,,,False,,,cloud-rtp-1-b,274 Days 21 Hours 19 Mins,10.0.0.14,564064cb1b2e5020c4e8bdb5dc9b1a97a670d15bb100f5b95fb05496,4ecaddf2f2717612888975d77c24fb80e2ed6ef79de4cfe1bc36f54005783ca9
